#lab name,institute,prof last name,prof first name
HYD,IFU,Burlando,Paolo
EO,IFU,Hajnsek,Irena
ESD,IFU,Hellweg,Stefanie
SWW Systems,IFU,Maurer,Max
SWW Process Engineering,IFU,Morgenroth,Eberhard
Stocker Lab,IFU,Stocker,Roman
IE,IFU,Wang,Jing
