id,collection,dc.contributor.author,dc.contributor.contactPerson,dc.contributor.dataCollector,dc.contributor.editor,dc.contributor.producer,dc.contributor.projectLeader,dc.contributor.projectManager,dc.contributor.supervisor,dc.date.accessioned,dc.date.available,dc.date.issued,dc.date.published,dc.description.abstract,dc.format,dc.identifier.doi,dc.identifier.isbn,dc.identifier.issn,dc.identifier.olduri,dc.identifier.other,dc.identifier.uri,dc.language.iso,dc.publisher,dc.rights.license,dc.rights.uri,dc.subject,dc.title,dc.type,ethz.availability,ethz.book.title,ethz.code.ddc,ethz.date.deposited,ethz.date.embargoend,ethz.date.retentionend,ethz.date.retentionendDate,ethz.ecitpid,ethz.eth,ethz.event,ethz.event.date,ethz.event.location,ethz.grant,ethz.grant.agreementno,ethz.grant.funderDoi,ethz.grant.fundername,ethz.grant.program,ethz.identifier.diss,ethz.identifier.importid,ethz.identifier.nebis,ethz.identifier.scopus,ethz.identifier.url,ethz.identifier.wos,ethz.journal.abbreviated,ethz.journal.issue,ethz.journal.title,ethz.journal.volume,ethz.leitzahl,ethz.leitzahl.certified,ethz.leitzahlIdentifiers,ethz.leitzahlIdentifiers.certified,ethz.notes,ethz.pages.end,ethz.pages.start,ethz.publication.place,ethz.publication.status,ethz.relation.cites,ethz.relation.isNewVersionOf,ethz.relation.isPreviousVersionOf,ethz.relation.isSupplementTo,ethz.relation.isSupplementedBy,ethz.rosetta.exportRequired,ethz.rosetta.installDate,ethz.rosetta.lastUpdated,ethz.rosetta.versionExported,ethz.size,ethz.source,ethz.tag,ethz.version.deposit
"186265","20.500.11850/3","Berghuijs, Wouter Reinier||Kirchner, James W.",,,,,,,,"2017-10-16T14:27:58Z","2017-10-06T02:55:47Z||2017-10-16T14:27:58Z","2017-09-16","2017-09-09",,,,,"0094-8276||1944-8007",,"10.1002/2017GL074962","http://hdl.handle.net/20.500.11850/191191","en","American Geophysical Union; Wiley",,,,"The relationship between contrasting ages of groundwater and streamflow","Journal Article","Metadata only",,,"2017-10-06T02:55:57Z",,,,,"yes",,,,,,,,,,,,"85029007059",,"000411702400030","Geophys. Res. Lett.","17","Geophysical Research Letters","44","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798",,"8935","8925","Washington, DC","published",,,,,,,"2017-10-16T14:28:00Z","2021-02-14T19:23:28Z","true",,"WOS",,
"208214","20.500.11850/39","Rudow, Andreas",,,,,,,,"2018-01-10T14:36:28Z","2018-01-10T13:08:24Z||2018-01-10T13:24:54Z||2018-01-10T14:36:28Z","2017-09-11","2018-01-10",,"application/pdf","10.3929/ethz-b-000227178",,,,,"http://hdl.handle.net/20.500.11850/227178","de","ETH Zürich","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/",,"40 Bäume & Sträucher. Bestimmungshilfe für 40 häufige einheimische Gehölzarten","Educational Material","Open access",,,"2018-01-10T13:08:25Z",,,,,"yes","BSc Umweltnaturwissenschaften - Einführung in die Dendrologie (Dendrologie 1), ETH Zürich",,,,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Departement Umweltsystemwissenschaften / Department of Environmental Systems Science::02720 - Institut für Integrative Biologie (IBZ) / Institute of Integrative Biology (IBZ)::03297 - Holdenrieder, Ottmar (emeritus)||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","03297||03535","03535",,,,"Zürich","published",,,,,,,"2018-01-10T13:25:07Z","2021-02-14T21:43:48Z","true",,"FORM",,
"245650","20.500.11850/10","Wolf, Sebastian",,,,,,,,"2018-07-26T15:41:26Z","2017-11-16T15:05:26Z||2018-07-26T15:41:26Z","2017-09-09",,,,,,,,,"http://hdl.handle.net/20.500.11850/209507","en",,,,,"Biosphere-Atmosphere Exchange of Trace Gases","Other Conference Item","Metadata only",,,"2017-11-16T15:05:26Z",,,,,"yes","OPTIMISE Workshop on ‘Ecosystem specific metadata definition’","September 25-26, 2017","Esch-sur-Alzette, Luxembourg",,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798","Conference lecture on 25 September 2017",,,,"unpublished",,,,,,,"2018-07-26T15:41:28Z","2018-07-26T15:41:28Z","true",,"FORM",,
"192681","20.500.11850/4","Kleinschroth, Fritz||Healey, John R.",,,,,,,,"2017-11-08T08:57:59Z","2017-10-06T02:32:38Z||2017-11-08T08:57:59Z","2017-09-06","2017-06-19",,,,,"0006-3606||1744-7429",,"10.1111/btp.12462","http://hdl.handle.net/20.500.11850/190856","en","Wiley",,,"forest degradation||Amazonia||land sharing vs||Southeast Asia||sparing||Congo Basin||reduced-impact logging||road ecology||deforestation","Impacts of logging roads on tropical forests","Review Article","Metadata only",,,"2017-10-06T02:32:46Z",,,,,"yes",,,,,,,,,,,,"85020492977",,"000409453300005",,"5","Biotropica","49","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","02722||03723","03723",,"635","620","Hoboken, NJ","published",,,,,,,"2017-11-08T08:58:08Z","2021-02-14T20:04:51Z","true",,"WOS",,
"220071","20.500.11850/9","Brüllhardt, Martin||Rotach, Peter||Bugmann, Harald",,,,,,,,"2018-02-19T12:48:47Z","2018-02-16T12:57:35Z||2018-02-19T12:48:47Z","2017-09",,,,,,,,,"http://hdl.handle.net/20.500.11850/241620","en","Forstliche Versuchs- und Forschungsanstalt (FVA) Baden-Württemberg",,,,"Light availability, growth patterns and species composition in uneven-aged broadleaved temperate forests","Conference Poster","Metadata only","125th IUFRO Anniversary Congress: Book of Abstracts",,"2018-02-16T12:57:35Z",,,,,"yes","125th IUFRO Anniversary Congress","September 18-22, 2017","Freiburg, Germany",,,,,,,,,,,,,,,,"ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","02722||03535","03535","Poster presentation No IUFRO17-2435",,"518",,"published",,,,,,,"2018-02-19T12:48:49Z","2020-02-15T11:19:53Z","true","1 p.","FORM",,
"202871","20.500.11850/3","Waeber, Patrick O.||Gardner, Charlie J.||Lourenço, Wilson R.||Wilmé, Lucienne",,,,,,,,"2017-12-13T11:22:14Z","2017-10-06T03:34:09Z||2017-12-13T11:22:14Z","2017-09","2017-09-13","Background to the work  For centuries taxonomy has relied on dead animal specimens, a practice that persists today despite the emergence of innovative biodiversity assessment methods. Taxonomists and conservationists are engaged in vigorous discussions over the necessity of killing animals for specimen sampling, but quantitative data on taxonomic trends and specimen sampling over time, which could inform these debates, are lacking.  Methods  We interrogated a long-term research database documenting 2,723 land vertebrate and 419 invertebrate taxa from Madagascar, and their associated specimens conserved in the major natural history museums. We further compared specimen collection and species description rates for the birds, mammals and scorpions over the last two centuries, to identify trends and links to taxon descriptions.  Results  We located 15,364 specimens documenting endemic mammals and 11,666 specimens documenting endemic birds collected between 1820 and 2010. Most specimens were collected at the time of the Mission Zoologique Franco-Anglo-Américaine (MZFAA) in the 1930s and during the last two decades, with major differences according to the groups considered. The small mammal and bat collections date primarily from recent years, and are paralleled by the description of new species. Lemur specimens were collected during the MZFAA but the descriptions of new taxa are recent, with the type series limited to non-killed specimens. Bird specimens, particularly of non-passerines, are mainly from the time of the MZFAA. The passerines have also been intensely collected during the last two decades; the new material has been used to solve the phylogeny of the groups and only two new endemic taxa of passerine birds have been described over the last two decades.  Conclusions  Our data show that specimen collection has been critical for advancing our understanding of the taxonomy of Madagascar’s biodiversity at the onset of zoological work in Madagascar, but less so in recent decades. It is crucial to look for alternatives to avoid killing animals in the name of documenting life, and encourage all efforts to share the information attached to historical and recent collections held in natural history museums. In times of conservation crisis and the advancement in digital technologies and open source sharing, it seems obsolete to kill animals in well-known taxonomic groups for the sake of enriching natural history collections around the world.","application/pdf","10.3929/ethz-b-000191724",,"1932-6203",,"10.1371/journal.pone.0183903","http://hdl.handle.net/20.500.11850/191724","en","Public Library of Science","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/",,"On specimen killing in the era of conservation crisis - A quantitative case for modernizing taxonomy and biodiversity inventories","Journal Article","Open access",,,"2017-10-06T03:34:17Z",,,,,"yes",,,,,,,,,,,,"85029408742",,"000410669200023","PLoS ONE","9","PLoS ONE","12","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury::08697 - Gruppe Forest Management & Development / Forest Management & Development Group","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury::08697 - Gruppe Forest Management & Development / Forest Management & Development Group","08697","08697",,,"e0183903","San Francisco, CA","published",,,,,,,"2017-12-13T11:22:17Z","2021-02-14T21:21:22Z","true","16 p.","WOS",,"publishedVersion"
"200567","20.500.11850/3","Martin-Benito, Dario||Anchukaitis, Kevin J.||Evans, Michael N.||del Río, Miren||Beeckman, Hans||Cañellas, Isabel",,,,,,,,"2017-12-05T12:42:20Z","2017-10-06T05:17:25Z||2017-10-19T11:10:55Z||2017-12-05T12:42:20Z","2017-09","2017-09-08","Exploring how drought influences growth, performance, and survival in different species is crucial to understanding the impacts of climate change on forest ecosystems. Here, we investigate the responses of two co-occurring pines (Pinus nigra and Pinus sylvestris) to interannual drought in east-central Spain by dendrochronological and wood anatomical features integrated with isotopic ratios of carbon (δ13C) and oxygen (δ18O) in tree rings. Our results showed that drought induces both species to allocate less carbon to build tracheid cell-walls but increases tracheid lumen diameters, particularly in the transition wood between early and latewood, potentially maximizing hydraulic conductivity but reducing resistance to embolism at a critical phase during the growing season. The thicker cell-wall-to-lumen ratio in P. nigra could imply that its xylem may be more resistant to bending stress and drought-induced cavitation than P. sylvestris. In contrast, the higher intrinsic water-use efficiency (iWUE) in P. sylvestris suggests that it relies more on a water-saving strategy. Our results suggest that narrower cell-walls and reduced growth under drought are not necessarily linked to increased iWUE. At our site P. nigra showed a higher growth plasticity, grew faster and was more competitive than P. sylvestris. In the long term, these sustained differences in iWUE and anatomical characters could affect forest species performance and composition, particularly under increased drought stress.","application/pdf","10.3929/ethz-b-000192571",,"1999-4907",,"10.3390/f8090332","http://hdl.handle.net/20.500.11850/192571","en","MDPI","Creative Commons Attribution 4.0 International","http://creativecommons.org/licenses/by/4.0/","xylem bending stress||drought||Pinus||tracheid||tree ring||water-use efficiency||wood anatomy","Effects of drought on xylem anatomy and water-use efficiency of two co-occurring pine species","Journal Article","Open access",,,"2017-10-06T05:17:29Z",,,,,"yes",,,,"Influence of climate variability on the dynamics and structure of old-growth temperate rainforests","329935","10.13039/501100000780","EC","FP7",,,,"85029748457",,"000411523700030",,"9","Forests","8","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","03535","03535",,,"332","Basel","published",,,,,,,"2017-10-19T11:10:57Z","2022-03-28T18:30:57Z","true","19 p.","SCOPUS",,"publishedVersion"
"196989","20.500.11850/3","Nesper, Maike||Kueffer, Christoph||Krishnan, Smitha||Kushalappa, Cheppudira G.||Ghazoul, Jaboury",,,,,,,,"2017-11-22T13:28:03Z","2017-10-06T02:22:27Z||2017-11-22T13:28:03Z","2017-09-01","2017-08-07",,,,,"0167-8809||1873-2305",,"10.1016/j.agee.2017.06.024","http://hdl.handle.net/20.500.11850/190691","en","Elsevier",,,,"Shade tree diversity enhances coffee production and quality in agroforestry systems in the Western Ghats","Journal Article","Metadata only",,,"2017-10-06T02:22:43Z",,,,,"yes",,,,,,,,,,,,"85030479118",,"000408597800019","Agric. ecosyst. environ.",,"Agriculture, Ecosystems & Environment","247","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02720 - Institut für Integrative Biologie / Institute of Integrative Biology::03706 - Widmer, Alexander / Widmer, Alexander||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury||ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","03706||03723||03723","03706||03723||03723",,"181","172","Amsterdam","published",,,,,,,"2017-11-22T13:28:05Z","2023-02-06T14:53:07Z","true",,"WOS",,
"186035","20.500.11850/3","Zellweger, Florian||Roth, Tobias||Bugmann, Harald||Bollmann, Kurt",,,,,,,,"2017-10-13T16:14:10Z","2017-10-06T03:09:13Z||2017-10-13T16:14:10Z","2017-08","2017-06-06",,,,,"1466-822X||1466-8238",,"10.1111/geb.12598","http://hdl.handle.net/20.500.11850/191375","en","Wiley-Blackwell",,,"community ecology||biodiversity||ecological networks||Airborne laser scanning||environmental filtering||LiDAR||biotic interactions||habitat complexity","Beta diversity of plants, birds and butterflies is closely associated with climate and habitat structure","Journal Article","Metadata only",,,"2017-10-06T03:09:17Z",,,,,"yes",,,,,,,,,,,,"85020199612",,"000405190600005","Glob. Ecol. Biogeogr.","8","Global Ecology and Biogeography","26","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","03535","03535",,"906","898","Oxford","published",,,,,,,"2017-10-13T16:14:12Z","2021-02-14T19:21:51Z","true",,"WOS",,
"172785","20.500.11850/3","Pimm, Stuart L.||Harris, Grant||Jenkins, Clinton N||Ocampo-Peñuela, Natalia",,,,,,,,"2017-08-15T12:43:35Z","2017-06-12T21:00:47Z||2017-07-11T14:20:15Z||2017-08-15T12:43:35Z","2017-08","2017-04-11",,,,,"0888-8892||1523-1739",,"10.1111/cobi.12928","http://hdl.handle.net/20.500.11850/130782","en","Wiley",,,,"Unfulfilled promise of data-driven approaches: Response to Peterson et al. 2016","Journal Article","Metadata only",,,"2017-06-12T21:01:11Z",,,,"pub:193813","yes",,,,,,,,,,"imp5936556ecbd4968219","010844705","85017613286",,"000405457000021","Conserv. Biol.","4","Conservation Biology","31","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","03723","03723",,,"944","Malden, MA","published",,,,,,,"2017-08-15T12:43:50Z","2021-02-14T18:18:27Z","true",,"ECIT",,
"223267","20.500.11850/3","Hager, Stephen B.||Cosentino, Bradley J.||Aguilar-Gómez, Miguel A.||Anderson, Michelle L.||Bakermans, Marja||Boves, Than J.||Brandes, David||Butler, Michael W.||Butler, Eric M.||Cagle, Nicolette L.||Calderón-Parra, Rafael||Capparella, Angelo P.||Chen, Anqi||Cipollini, Kendra||Conkey, April A.T.||Contreras, Thomas A.||Cooper, Rebecca I.||Corbin, Clay E.||Curry, Robert L.||Dosch, Jerald J.||Drew, Martina G.||Dyson, Karen||Foster, Carolyn||Francis, Clinton D.||Fraser, Erin||Furbush, Ross||Hagemeyer, Natasha D.G.||Hopfensperger, Kristine N.||Klem Jr., Daniel||Lago, Elizabeth||Lahey, Ally||Lamp, Kevin||Lewis, Greg||Loss, Scott R.||Machtans, Craig S.||Madosky, Jessa||Maness, Terri J.||McKay, Kelly J.||Menke, Sean B.||Muma, Katherine E.||Ocampo-Peñuela, Natalia||O'Connell, Timothy J.||Ortega-Álvarez, Rubén||Pitt, Amber L.||Puga-Caballero, Aura L.||Quinn, John E.||Varian-Ramos, Claire W.||Riding, Corey S.||Roth, Amber M.||Saenger, Peter G.||Schmitz, Ryan T.||Schnurr, Jaclyn||Simmons, Matthew||Smith, Alexis D.||Sokoloski, Devin R.||Vigliotti, Jesse||Walters, Eric L.||Walters, Lindsey A.||Weir, J.T.||Winnett-Murray, Kathy||Withey, John C.||Zuria, Iriana",,,,,,,,"2018-03-06T13:18:49Z","2018-01-30T11:39:01Z||2018-02-20T12:58:43Z||2018-03-06T13:18:49Z","2017-08","2017-07-10",,,,,"0006-3207||1873-2917",,"10.1016/j.biocon.2017.06.014","http://hdl.handle.net/20.500.11850/236999","en","Elsevier",,,"Bird-window collisions||Anthropogenic mortality||Lights out program||Bird migration||Habitat selection||Behavioral divergence","Continent-wide analysis of how urbanization affects bird-window collision mortality in North America","Journal Article","Metadata only",,,"2018-01-30T11:39:02Z",,,,,"no",,,,,,,,,,,,,,,"Biol Conserv","Part A","Biological Conservation","212","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03723 - Ghazoul, Jaboury / Ghazoul, Jaboury","03723","03723",,"215","209","Oxford","published",,,,,,,"2018-02-20T12:58:47Z","2020-02-15T11:34:32Z","true",,"FORM",,
"172801","20.500.11850/3","Guigoz, Yaniss||Lacroix, Pierre||Rouholahnejad, Elham||Ray, Nicolas||Giuliani, Grégory",,,,,,,,"2017-08-15T13:39:43Z","2017-06-12T15:17:06Z||2017-07-13T12:19:40Z||2017-08-15T13:39:43Z","2017-08","2016-08-28",,,,,"1361-1682||1467-9671",,"10.1111/tgis.12227","http://hdl.handle.net/20.500.11850/122206","en","Wiley",,,"Data extraction||Spatial data infrastructures||Standards","SCOPED-W: SCalable Online Platform for extracting Environmental Data and Water-related model outputs","Journal Article","Metadata only",,,"2017-06-12T15:20:40Z",,,,"pub:184491","yes",,,,,,,,,,"imp593654d65208e53022","001605816","84992448481",,"000407653400007","Trans. GIS","4","Transactions in GIS","21","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03798 - Kirchner, James W. / Kirchner, James W.","03798","03798",,"763","748","Oxford","published",,,,,,,"2017-08-15T13:40:20Z","2021-02-14T18:18:35Z","true",,"ECIT",,
"442678","20.500.11850/3","Timofeeva, Galina||Treydte, Kerstin||Bugmann, Harald||Rigling, Andreas||Schaub, Marcus||Siegwolf, Rolf||Saurer, Matthias",,,,,,,,"2022-03-08T08:57:08Z","2017-10-06T02:42:25Z||2017-10-17T10:40:36Z||2022-03-08T08:57:08Z","2017-08","2017-04-21","Drought frequency is increasing in many parts of the world and may enhance tree decline and mortality. The underlying physiological mechanisms are poorly understood, however, particularly regarding chronic effects of long-term drought and the response to increasing temperature and vapor pressure deficit (VPD). We combined analyses of radial growth and stable carbon isotope ratios (δ13C) in tree rings in a mature Scots pine (Pinus sylvestris L.) forest over the 20th century to elucidate causes of tree mortality in one of the driest parts of the European Alps (Pfynwald, Switzerland). We further compared trees that have recently died with living trees in a 10-year irrigation experiment, where annual precipitation was doubled. We found a sustained growth increase and immediate depletion of δ13C values for irrigated trees, indicating higher stomatal conductance and thus indeed demonstrating that water is a key limiting factor for growth. Growth of the now-dead trees started declining in the mid-1980s, when both mean temperature and VPD increased strongly. But growth of these trees was reduced to some extent already several decades earlier, while intrinsic water-use efficiency derived from δ13C values was higher. This indicates a more conservative water-use strategy compared with surviving trees, possibly at the cost of low carbon uptake and long-term reduction of the needle mass. We observed reduced climatic sensitivity of raw tree-ring δ13C for the now-dead in contrast to surviving trees, indicating impaired stomatal regulation, although this difference between the tree groups was smaller after detrending the data. Higher autocorrelation and a lower inter-annual δ13C variability of the now-dead trees further indicates a strong dependence on (low) carbon reserves. We conclude that the recent increase in atmospheric moisture demand in combination with insufficient soil water supply was the main trigger for mortality of those trees that were weakened by long-term reduced carbon uptake.","application/pdf","10.3929/ethz-b-000190975",,"0829-318X||1758-4469",,"10.1093/treephys/tpx041","http://hdl.handle.net/20.500.11850/190975","en","Oxford University Press","In Copyright - Non-Commercial Use Permitted","http://rightsstatements.org/page/InC-NC/1.0/","Climate change||tree decline||tree mortality||vapor pressure deficit||water-use efficiency","Long-term effects of drought on tree-ring growth and carbon isotope variability in Scots pine in a dry environment","Journal Article","Open access",,,"2017-10-06T02:42:44Z",,,,,"yes",,,,,,,,,,,,"85031928597",,"000409249000005",,"8","Tree Physiology","37","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","ETH Zürich::00002 - ETH Zürich::00012 - Lehre und Forschung::00007 - Departemente::02350 - Dep. Umweltsystemwissenschaften / Dep. of Environmental Systems Science::02722 - Institut für Terrestrische Oekosysteme / Institute of Terrestrial Ecosystems::03535 - Bugmann, Harald / Bugmann, Harald","03535","03535","It was possible to publish this article open access thanks to a Swiss National Licence with the publisher.","1041","1028","Oxford","published",,,,,,,"2017-10-17T10:40:38Z","2022-03-29T20:17:13Z","true",,"WOS",,"publishedVersion"
